#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY2530,39.03777483,-122.93924200,505164.676,4320956.131,423.730,-23.449,10.301,979976.201,0.020,1.110
19GY2500,39.06514617,-122.72186183,523969.249,4324028.584,809.560,-39.467,-2.247,979883.455,0.060,4.800
19GY2501,39.06949467,-122.74473583,521988.952,4324505.335,976.930,-39.479,-2.179,979848.357,0.040,7.510
19GY2502,39.08704183,-122.74956550,521565.774,4326451.397,983.230,-40.926,-2.846,979848.819,0.030,5.920
19GY2503,39.08666367,-122.73842100,522529.763,4326412.148,985.040,-40.707,-2.647,979848.340,0.050,6.230
19GY2504,39.01613667,-122.48938767,544112.316,4318677.203,450.310,-41.276,-8.926,979948.694,0.030,3.680
19GY2505,38.99885083,-122.55571183,538379.656,4316728.871,311.530,-46.485,-13.105,979970.891,0.010,1.870
19GY2506,38.94798900,-122.60253250,534349.796,4311066.031,483.150,-36.719,-4.479,979943.564,0.010,0.920
19GY2507,38.99960183,-122.75079433,521486.080,4316747.870,429.070,-40.060,-5.370,979953.170,0.040,3.110
19GY2508,39.00460883,-122.77281683,519577.659,4317298.504,598.140,-41.072,-6.412,979917.864,0.080,4.790
19GY2509,39.00259700,-122.79614417,517558.275,4317070.471,403.590,-37.553,-3.023,979959.842,0.040,4.190
19GY2510,38.96307200,-122.74378100,522104.801,4312695.876,602.850,-43.964,-10.864,979911.057,0.090,4.110
19GY2511,38.94942317,-122.74824567,521722.170,4311180.207,552.410,-46.506,-13.966,979919.242,0.040,2.040
19GY2512,38.95371667,-122.76268183,520469.950,4311653.294,638.690,-49.091,-16.511,979898.923,0.060,3.280
19GY2513,38.96999900,-122.79117583,517996.784,4313454.077,832.800,-50.230,-17.340,979857.736,0.120,6.790
19GY2514,38.97008383,-122.80785517,516551.819,4313460.311,567.050,-46.207,-13.317,979918.045,0.010,2.500
19GY2515,38.94130417,-122.81830633,515652.795,4310264.820,504.150,-44.334,-12.754,979930.772,0.000,1.400
19GY2516,38.90890783,-122.79311867,517843.859,4306674.520,729.070,-49.521,-19.181,979877.371,0.070,2.760
19GY2517,38.87975017,-122.76654767,520155.981,4303444.533,877.460,-51.801,-22.561,979843.285,0.010,2.950
19GY2518,38.87087983,-122.74795000,521771.874,4302464.508,878.530,-52.699,-23.689,979841.224,0.020,3.120
19GY2519,38.86822983,-122.72869267,523443.350,4302175.234,942.610,-54.271,-25.271,979826.104,0.030,3.890
19GY2520,38.85436900,-122.77049233,519820.898,4300627.199,692.760,-44.834,-16.684,979884.601,0.000,2.500
19GY2521,38.85369550,-122.78012367,518985.351,4300550.407,713.620,-44.005,-16.015,979880.990,0.040,2.800
19GY2522,38.87996833,-122.78035217,518958.511,4303465.770,876.960,-50.940,-21.850,979843.584,0.100,3.630
19GY2523,38.90848800,-122.77151433,519717.184,4306632.402,692.450,-52.058,-21.498,979882.571,0.020,2.150
19GY2524,38.90681283,-122.77810083,519146.549,4306445.103,742.890,-51.500,-21.100,979873.143,0.020,2.120
19GY2525,38.87209183,-122.72211967,524012.285,4302605.504,833.760,-53.888,-24.608,979848.655,0.020,3.370
19GY2526,38.90430467,-122.75292183,521330.518,4306172.390,718.860,-54.511,-23.991,979874.001,0.010,2.730
