ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC,cba_resid_deg1,cba_resid_deg2,outlier_cba,outlier_iso,duplicate
19GY2530,39.03777483,-122.939242,505164.676,4.320956131e6,423.73,-23.449,10.301,979976.201,0.02,1.11,12.527807908233473,14.640846875705048,false,false,false
19GY2500,39.06514617,-122.72186183,523969.249,4.324028584e6,809.56,-39.467,-2.247,979883.455,0.06,4.8,3.697221992886469,8.011801845699452,false,false,false
19GY2501,39.06949467,-122.74473583,521988.952,4.324505335e6,976.93,-39.479,-2.179,979848.357,0.04,7.51,3.0442305862813086,7.8470122113178675,false,false,false
19GY2502,39.08704183,-122.7495655,521565.774,4.326451397e6,983.23,-40.926,-2.846,979848.819,0.03,5.92,1.7273511869621743,6.681623794641581,false,false,false
19GY2503,39.08666367,-122.738421,522529.763,4.326412148e6,985.04,-40.707,-2.647,979848.34,0.05,6.23,2.286307231518144,7.056899713313619,false,false,false
19GY2504,39.01613667,-122.48938767,544112.316,4.318677203e6,450.31,-41.276,-8.926,979948.694,0.03,3.68,8.335515435947329,-2.0795955049429082,false,false,false
19GY2505,38.99885083,-122.55571183,538379.656,4.316728871e6,311.53,-46.485,-13.105,979970.891,0.01,1.87,0.7888756618292803,-4.099893044952559,false,false,false
19GY2506,38.947989,-122.6025325,534349.796,4.311066031e6,483.15,-36.719,-4.479,979943.564,0.01,0.92,8.289799209634154,5.802383963014442,false,false,false
19GY2507,38.99960183,-122.75079433,521486.08,4.31674787e6,429.07,-40.06,-5.37,979953.17,0.04,3.11,1.1593953368501175,5.501794017003462,false,false,false
19GY2508,39.00460883,-122.77281683,519577.659,4.317298504e6,598.14,-41.072,-6.412,979917.864,0.08,4.79,-0.45712413460844914,4.230014391305339,false,false,false
19GY2509,39.002597,-122.79614417,517558.275,4.317070471e6,403.59,-37.553,-3.023,979959.842,0.04,4.19,2.3047944342052205,7.116548696713387,false,false,false
19GY2510,38.963072,-122.743781,522104.801,4.312695876e6,602.85,-43.964,-10.864,979911.057,0.09,4.11,-3.1096192313473594,0.6439186948805471,false,false,false
19GY2511,38.94942317,-122.74824567,521722.17,4.311180207e6,552.41,-46.506,-13.966,979919.242,0.04,2.04,-6.008329886108008,-2.3687576435810556,false,false,false
19GY2512,38.95371667,-122.76268183,520469.95,4.311653294e6,638.69,-49.091,-16.511,979898.923,0.06,3.28,-8.973798211437305,-5.028417247046811,false,false,false
19GY2513,38.969999,-122.79117583,517996.784,4.313454077e6,832.8,-50.23,-17.34,979857.736,0.12,6.79,-10.73874675053468,-6.297932972829933,false,false,false
19GY2514,38.97008383,-122.80785517,516551.819,4.313460311e6,567.05,-46.207,-13.317,979918.045,0.01,2.5,-7.232939516661268,-2.750227819219397,false,false,false
19GY2515,38.94130417,-122.81830633,515652.795,4.31026482e6,504.15,-44.334,-12.754,979930.772,0.0,1.4,-6.145096120380188,-2.0462193156828334,false,false,false
19GY2516,38.90890783,-122.79311867,517843.859,4.30667452e6,729.07,-49.521,-19.181,979877.371,0.07,2.76,-11.066475281073927,-7.520606861231876,false,false,false
19GY2517,38.87975017,-122.76654767,520155.981,4.303444533e6,877.46,-51.801,-22.561,979843.285,0.01,2.95,-12.985263948857295,-10.281678123981429,false,false,false
19GY2518,38.87087983,-122.74795,521771.874,4.302464508e6,878.53,-52.699,-23.689,979841.224,0.02,3.12,-13.445820653983645,-11.274380417544421,false,false,false
19GY2519,38.86822983,-122.72869267,523443.35,4.302175234e6,942.61,-54.271,-25.271,979826.104,0.03,3.89,-14.460405082042392,-12.820958348700714,false,false,false
19GY2520,38.854369,-122.77049233,519820.898,4.300627199e6,692.76,-44.834,-16.684,979884.601,0.0,2.5,-6.5464489206602465,-4.33335136070648,false,false,false
19GY2521,38.8536955,-122.78012367,518985.351,4.300550407e6,713.62,-44.005,-16.015,979880.99,0.04,2.8,-6.028158231562131,-3.7010498113849764,false,false,false
19GY2522,38.87996833,-122.78035217,518958.511,4.30346577e6,876.96,-50.94,-21.85,979843.584,0.1,3.63,-12.550543877395455,-9.65971354108423,false,false,false
19GY2523,38.908488,-122.77151433,519717.184,4.306632402e6,692.45,-52.058,-21.498,979882.571,0.02,2.15,-12.937890166795576,-9.607286885521475,false,false,false
19GY2524,38.90681283,-122.77810083,519146.549,4.306445103e6,742.89,-51.5,-21.1,979873.143,0.02,2.12,-12.611619599505111,-9.23220081146841,false,false,false
19GY2525,38.87209183,-122.72211967,524012.285,4.302605504e6,833.76,-53.888,-24.608,979848.655,0.02,3.37,-13.811095208667268,-12.271839696973444,false,false,false
19GY2526,38.90430467,-122.75292183,521330.518,4.30617239e6,718.86,-54.511,-23.991,979874.001,0.01,2.73,-14.879049876422002,-11.922977272409298,false,false,false
19GY2527,39.02612783,-122.91468117,507291.582,4.319665373e6,406.51,-30.437,3.333,979971.869,0.0,0.79,6.115472046922488,9.153021624308504,false,false,false
19GY2528,39.02601283,-122.93274883,505727.613,4.3196513e6,444.21,-22.604,10.746,979972.062,0.0,1.05,13.385669008867268,15.737332880549118,false,false,false
19GY2529,39.05147033,-122.94140683,504976.335,4.322475798e6,463.9,-23.872,10.448,979969.318,0.01,0.93,12.257374228265938,14.298666449717764,false,false,false
19GY2531,39.04056833,-122.92692233,506230.671,4.32126691e6,418.95,-26.35,7.82,979974.722,0.02,0.87,10.054033708352314,12.68148998434068,false,false,false
19GY2532,39.04006817,-122.96732767,502733.823,4.321209375e6,451.5,-27.998,5.192,979965.797,0.06,1.74,7.143897603287041,7.926236062970691,false,false,false
19GY2533,39.04735333,-122.98705183,501026.674,4.322017381e6,574.4,-29.582,3.368,979939.288,0.12,3.28,5.064820393312559,4.765217520890822,false,false,false
19GY2534,39.03404967,-122.9960365,500249.237,4.320541002e6,750.63,-29.075,2.925,979903.296,0.08,4.13,5.079241555017131,4.237277513946207,false,false,false
19GY2535,39.022126,-122.99579317,500270.359,4.319217837e6,632.37,-28.808,2.722,979926.192,0.18,3.58,5.162178244272965,4.31674781115948,false,false,false
19GY2536,39.04646667,-123.00335283,499616.04,4.321918914e6,847.92,-29.479,2.811,979883.492,0.04,5.59,4.647773032269804,3.356692563603552,false,false,false
19GY2537,39.03711633,-123.01309267,498773.029,4.320881383e6,888.97,-28.653,2.947,979874.757,0.07,6.29,5.021241720283619,3.0992839258193463,false,false,false
19GY2538,39.04948,-123.02373067,497852.68,4.322253566e6,914.73,-28.901,2.949,979871.92,0.06,4.93,4.641984420078035,1.9922590734698353,false,false,false
19GY2539,39.04878317,-123.04231667,496244.326,4.322176822e6,895.25,-27.779,3.521,979877.404,0.05,4.32,5.176190267090387,1.1763787712315832,false,false,false
19GY2540,39.0529365,-123.05456467,495184.726,4.322638282e6,1036.53,-28.005,3.035,979846.286,0.04,7.92,4.637102340567818,-0.32011157883133734,false,false,false
19GY2541,39.05287133,-123.0716425,493706.982,4.322632076e6,997.49,-27.602,2.948,979854.117,0.08,8.13,4.509354875492644,-1.8510762317613008,false,false,false
19GY2542,39.05267133,-123.08600217,492464.423,4.322610959e6,762.89,-27.608,2.632,979902.871,0.06,5.27,4.054773963208024,-3.555480236740081,false,false,false
19GY2543,39.06738017,-123.078114,493148.388,4.324242588e6,886.72,-29.064,1.976,979879.064,0.05,4.69,3.0803233633087928,-3.8853231835485147,false,false,false
19GY2544,39.0694385,-123.09205183,491942.83,4.32447213e6,986.58,-27.746,2.874,979856.706,0.03,9.0,3.9993126961309855,-4.221909266950945,false,false,false
19GY2545,39.08329067,-123.08948533,492166.37,4.326009093e6,861.09,-29.766,1.604,979884.316,0.1,5.16,2.2820649461435423,-5.775664647362962,false,false,false
19GY2546,39.09890617,-123.08372067,492666.567,4.327741484e6,722.22,-30.959,1.361,979914.24,0.02,2.6,1.5193174548938622,-6.114574101758251,false,false,false
19GY2547,39.12766517,-123.12836267,488810.726,4.330937417e6,328.05,-32.54,-0.32,979989.237,0.08,5.64,-0.9813301180633829,-13.20274655387653,false,false,false
19GY2548,39.11241317,-123.10632333,490713.789,4.329242417e6,526.97,-30.698,1.542,979950.844,0.07,5.64,1.2975273950623567,-8.555076712807292,false,false,false
19GY2549,39.10565817,-123.06444283,494334.12,4.328489402e6,767.73,-31.964,1.236,979904.829,0.02,2.7,1.2205450340039263,-4.7841902056957935,false,false,false
19GY2550,39.16106917,-122.89699833,508805.275,4.334641531e6,409.08,-44.671,-4.041,979967.997,0.02,1.87,-5.406762562972922,-1.9708118278661004,false,false,false
19GY2551,39.1508005,-122.90138817,508427.242,4.333501573e6,403.26,-44.701,-4.681,979968.575,0.0,1.49,-5.737409612355442,-2.38219058477285,false,false,false
19GY2552,39.15681567,-122.924089,506465.102,4.334167203e6,406.87,-44.767,-4.937,979968.276,0.03,1.55,-6.410535056960882,-3.961372607213299,false,false,false
19GY2553,39.14343183,-122.91415933,507324.458,4.332682735e6,416.99,-43.473,-4.093,979966.597,0.04,1.36,-5.02340940535413,-2.0873790426650913,false,false,false
19GY2554,39.12971817,-122.90662133,507977.451,4.331161549e6,412.67,-41.201,-2.361,979968.559,0.03,1.3,-2.7375936418056597,0.5494006993157896,false,false,false
19GY2555,39.09721533,-122.91308617,507422.108,4.327554109e6,452.4,-35.235,1.855,979964.141,0.03,1.04,2.5068139930655846,5.669147178380186,false,false,false
19GY2556,39.07171767,-122.91372283,507369.739,4.324724561e6,405.09,-30.58,5.31,979975.987,0.01,0.84,6.733227822369919,9.897232789051927,false,false,false
19GY2557,39.11501233,-122.94333667,504804.947,4.329526997e6,473.96,-34.168,3.092,979962.319,0.04,1.29,2.9211620171860275,4.7682329625786295,false,false,false
19GY2558,39.10761717,-122.954728,503820.532,4.328705794e6,430.16,-30.39,6.28,979973.565,0.04,1.73,6.227261183887215,7.556575623491405,false,false,false
19GY2559,39.09585167,-122.96026433,503342.416,4.327399939e6,428.99,-26.598,9.362,979977.054,0.04,1.22,9.658701939090811,10.751164751891729,false,false,false
19GY2560,39.08531967,-122.96334433,503076.538,4.326231081e6,429.7,-23.835,11.555,979978.455,0.03,1.51,12.157082687339226,13.120508358123736,false,false,false
19GY2561,39.06727083,-122.96703417,502758.13,4.324228068e6,467.79,-22.829,11.591,979970.358,0.06,1.57,12.758816328554843,13.560438278420463,false,false,false
19GY2562,39.063369,-122.97709383,501887.956,4.323794813e6,541.28,-27.458,6.492,979951.116,0.05,1.47,7.755064169306685,8.016128578179867,false,false,false
19GY2563,39.07757117,-122.95901283,503451.557,4.325371385e6,431.45,-22.794,12.336,979978.769,0.02,1.21,13.208035140012651,14.408964587505654,false,false,false
19GY2564,39.14173133,-123.001948,499737.837,4.332490521e6,416.76,-32.336,4.684,979973.299,0.07,5.69,3.36555078982002,1.7587330972917172,false,false,false
19GY2565,39.17520733,-123.01706767,498431.877,4.336205564e6,420.78,-38.234,-0.064,979969.39,0.02,5.88,-2.462647117983188,-5.434650007998165,false,false,false
19GY2566,39.185956,-123.02670233,497599.984,4.337398573e6,419.5,-39.887,-1.497,979969.608,0.02,5.21,-4.241138439910877,-8.044793039227972,false,false,false
19GY2567,39.20752317,-123.06089133,494648.788,4.339793372e6,323.68,-39.333,-1.043,979988.91,0.04,7.1,-4.398453241520109,-11.242337772706858,false,false,false
19GY2568,39.16945067,-123.00558133,499424.03,4.335566609e6,415.92,-38.758,-0.518,979970.495,0.0,4.69,-2.7234494329141796,-4.8355765405319815,false,false,false
19GY2569,39.19116133,-122.99280183,500527.825,4.337975908e6,510.2,-43.564,-3.904,979950.641,0.1,3.23,-6.784737470696854,-8.306483100576315,false,false,false
19GY2570,39.20584033,-122.98559367,501150.067,4.339604955e6,441.06,-43.886,-3.226,979964.406,0.06,3.96,-6.647692955802519,-7.90188728011929,false,false,false
19GY2571,39.18626633,-122.95555467,503744.782,4.337433613e6,414.43,-44.786,-4.246,979968.558,0.02,2.38,-6.931831539659413,-6.230395681817399,false,false,false
19GY2572,39.170681,-122.93477533,505540.668,4.335705153e6,411.47,-45.321,-5.051,979967.561,0.02,2.04,-7.073248674893584,-5.202817965169622,false,false,false
19GY2573,39.17651967,-122.91043283,507642.874,4.336354879e6,414.81,-46.142,-5.012,979966.555,0.01,2.09,-7.046396570708033,-4.21180682112238,false,false,false
19GY2574,39.19197867,-122.90709133,507929.751,4.338070697e6,423.44,-45.547,-3.567,979965.612,0.06,3.31,-6.100030758008238,-3.2835692557532923,false,false,false
19GY2575,39.1971955,-122.89603,508884.34,4.338650661e6,424.08,-44.4,-1.91,979965.226,0.02,5.18,-4.526763238855011,-1.3668517542675005,false,false,false
19GY2576,39.171333,-122.88956183,509446.383,4.335781289e6,416.47,-44.512,-3.232,979967.191,0.01,2.3,-4.852818310959968,-1.251464328607483,false,false,false
19GY2577,39.061582,-123.02919217,497380.506,4.323596665e6,766.55,-29.71,2.6,979903.492,0.03,2.62,3.8582090412671874,0.8019004138851749,false,false,false
19GY2578,39.07504583,-123.024139,497818.099,4.325090624e6,778.75,-30.543,2.517,979900.464,0.12,3.62,3.398482149221273,0.665335898895929,false,false,false
19GY2579,39.13347667,-122.88751367,509628.521,4.331580508e6,402.05,-43.876,-4.466,979968.143,0.0,1.45,-4.759919876780323,-0.867045589645862,false,false,false
19GY2580,39.141767,-122.86021133,511986.881,4.332503781e6,518.32,-37.839,2.351,979949.744,0.05,3.89,2.256395218812159,6.8104553036895865,false,false,false
19GY2581,39.15696917,-122.8704125,511102.875,4.334189489e6,639.32,-40.556,0.144,979923.821,0.13,4.78,-0.5334227542485479,3.7057449693121143,false,false,false
19GY2582,39.15094733,-122.86317283,511729.409,4.333522151e6,779.92,-39.398,1.002,979891.509,0.14,10.21,0.7525705987769769,5.197628002958098,false,false,false
