Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
8 ^ 14 ^ 1 ^ 4 ^ 6 ^ 4 ^ 7 ^ 7 ^ 7 ^ 7 ^ 7 ^ 7 ^ 6 ^ 6
0 ^ 0 ^ 0 ^ 0 ^ 0 ^ 0 ^ 0 ^ 0 ^ 0 ^ 0 ^ 2 ^ 2 ^ 2 ^ 2
1 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 0.00 ^ 51.70 ^ 360.00
2 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 10.00 ^ 50.50 ^ 360.00
3 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 20.00 ^ 50.90 ^ 360.00
4 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 30.00 ^ 50.90 ^ 360.00
5 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 40.00 ^ 51.30 ^ 360.00
6 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 50.00 ^ 52.60 ^ 360.00
7 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 60.00 ^ 53.30 ^ 360.00
8 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 70.00 ^ 54.80 ^ 360.00
9 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 80.00 ^ 55.50 ^ 360.00
10 ^ M371484R304    ^ M ^ 84 ^ 304    ^ 3714 ^ 7513840 ^ 3498201 ^ 7513840 ^ 3498200 ^ 223.00 ^ 81.90 ^ 55.50 ^ 360.00
11 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 0.00 ^ 49.90 ^ 360.00
12 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 10.00 ^ 50.30 ^ 360.00
13 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 20.00 ^ 50.30 ^ 360.00
14 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 30.00 ^ 50.30 ^ 360.00
15 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 40.00 ^ 50.90 ^ 360.00
16 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 50.00 ^ 51.60 ^ 360.00
17 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 60.00 ^ 51.50 ^ 360.00
18 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 70.00 ^ 50.60 ^ 360.00
19 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 80.00 ^ 49.40 ^ 360.00
20 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 90.00 ^ 48.60 ^ 360.00
21 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 100.00 ^ 48.40 ^ 360.00
22 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 110.00 ^ 48.60 ^ 360.00
23 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 115.00 ^ 48.70 ^ 360.00
24 ^ M371484R305    ^ M ^ 84 ^ 305    ^ 3714 ^ 7513740 ^ 3498201 ^ 7513740 ^ 3498200 ^ 225.00 ^ 117.50 ^ 48.70 ^ 360.00
25 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 0.00 ^ 50.20 ^ 360.00
26 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 10.00 ^ 50.50 ^ 360.00
27 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 20.00 ^ 50.50 ^ 360.00
28 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 30.00 ^ 50.80 ^ 360.00
29 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 40.00 ^ 51.00 ^ 360.00
30 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 50.00 ^ 51.10 ^ 360.00
31 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 60.00 ^ 51.30 ^ 360.00
32 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 70.00 ^ 51.50 ^ 360.00
33 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 80.00 ^ 51.70 ^ 360.00
34 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 90.00 ^ 51.70 ^ 360.00
35 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 100.00 ^ 51.70 ^ 360.00
36 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 110.00 ^ 51.60 ^ 360.00
37 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 120.00 ^ 51.60 ^ 360.00
38 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 130.00 ^ 51.60 ^ 360.00
39 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 140.00 ^ 51.70 ^ 360.00
40 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 150.00 ^ 51.80 ^ 360.00
41 ^ M371484R306    ^ M ^ 84 ^ 306    ^ 3714 ^ 7513450 ^ 3497701 ^ 7513450 ^ 3497700 ^ 222.00 ^ 151.90 ^ 51.80 ^ 360.00
42 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 0.00 ^ 51.50 ^ 360.00
43 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 10.00 ^ 50.90 ^ 360.00
44 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 20.00 ^ 51.20 ^ 360.00
45 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 30.00 ^ 51.20 ^ 360.00
46 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 40.00 ^ 51.50 ^ 360.00
47 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 50.00 ^ 51.40 ^ 360.00
48 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 60.00 ^ 51.50 ^ 360.00
49 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 70.00 ^ 51.60 ^ 360.00
50 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 80.00 ^ 51.50 ^ 360.00
51 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 90.00 ^ 51.20 ^ 360.00
52 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 100.00 ^ 51.20 ^ 360.00
53 ^ M371484R307    ^ M ^ 84 ^ 307    ^ 3714 ^ 7513250 ^ 3497251 ^ 7513250 ^ 3497250 ^ 222.00 ^ 110.00 ^ 51.00 ^ 360.00
